gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
001979,10318,2012-12-31,2013-09-30,2014-01-31,49.129,0.212,17.616,36.347,37.861,37.861,37.861,4.910,33.432,0.147,0.131,0.223,0.192,0.317,0.193,0.162,0.234,0.152,0.228,0.332,0.155,0.152,0.155,0.264,0.237,0.319,1.000,0.000,0.000,0.000,0.870,0.014,4.547,0.101,0.180,0.000,0.000,,0.746,0.000,2.784,1.835,1.360,0.736,0.667,0.000,0.108,0.037,0.121,6289.43,9213.43,6.099,7.792,8.667,64.677,9.761,1.007,7.997,20.267,1.129,1.129,1.630,0.010,0.000,0.000,-0.016,5.005,3.318,.477%,BCPC,05766520
001979,10318,2013-12-31,2013-12-31,2014-02-28,41.666,0.190,23.322,33.450,34.834,34.834,34.834,4.540,27.488,0.175,0.133,0.226,0.195,0.320,0.195,0.164,0.221,0.146,0.217,0.318,0.148,0.161,0.148,0.247,0.220,0.286,1.000,0.000,0.000,0.000,,,4.586,0.089,0.142,0.000,0.000,,0.786,0.000,2.128,1.558,1.224,0.853,0.829,0.000,0.121,0.036,0.137,1870.75,2733.42,5.839,7.075,7.769,59.052,10.074,0.978,8.286,17.503,1.018,1.018,1.393,0.011,0.000,0.000,-0.031,4.539,3.834,.515%,BCPC,05766520
001979,10318,2013-12-31,2013-12-31,2014-03-31,43.079,0.190,23.322,34.517,35.945,35.945,35.945,4.694,28.420,0.175,0.133,0.226,0.195,0.320,0.195,0.164,0.221,0.146,0.217,0.318,0.148,0.161,0.148,0.247,0.220,0.286,1.000,0.000,0.000,0.000,,,4.586,0.089,0.142,0.000,0.000,,0.786,0.000,2.128,1.558,1.224,0.853,0.829,0.000,0.121,0.036,0.137,1870.75,2733.42,5.839,7.075,7.769,59.052,10.074,0.978,8.286,17.503,1.018,1.018,1.393,0.011,0.000,0.000,-0.031,4.693,3.956,.499%,BCPC,05766520
001979,10318,2013-12-31,2013-12-31,2014-04-30,51.204,0.190,23.322,41.026,42.724,42.724,42.724,5.580,33.780,0.175,0.133,0.226,0.195,0.320,0.195,0.164,0.221,0.146,0.217,0.318,0.148,0.161,0.148,0.247,0.220,0.286,1.000,0.000,0.000,0.000,,,4.586,0.089,0.142,0.000,0.000,,0.786,0.000,2.128,1.558,1.224,0.853,0.829,0.000,0.121,0.036,0.137,1870.75,2733.42,5.839,7.075,7.769,59.052,10.074,0.978,8.286,17.503,1.018,1.018,1.393,0.011,0.000,0.000,-0.031,5.578,4.702,.420%,BCPC,05766520
001979,10318,2013-12-31,2014-03-31,2014-05-31,46.651,0.221,20.849,37.767,38.831,39.386,39.386,4.955,27.236,0.183,0.127,0.221,0.190,0.316,0.187,0.158,0.214,0.135,0.207,0.318,0.137,0.135,0.137,0.234,0.212,0.293,1.000,0.000,0.000,0.000,,,5.070,0.094,0.154,0.000,0.000,,0.749,0.000,2.608,2.143,1.224,0.904,0.701,0.000,0.105,0.034,0.118,1787.67,2684.88,6.765,8.360,9.223,65.261,9.345,0.929,8.287,20.553,1.039,1.039,1.433,0.011,0.000,0.000,-0.053,4.790,6.648,.472%,BCPC,05766520
001979,10318,2013-12-31,2014-03-31,2014-06-30,45.421,0.221,20.849,36.685,37.718,38.257,38.257,4.824,26.519,0.183,0.127,0.221,0.190,0.316,0.187,0.158,0.214,0.135,0.207,0.318,0.137,0.135,0.137,0.234,0.212,0.293,1.000,0.000,0.000,0.000,,,5.070,0.094,0.154,0.000,0.000,,0.749,0.000,2.608,2.143,1.224,0.904,0.701,0.000,0.105,0.034,0.118,1787.67,2684.88,6.765,8.360,9.223,65.261,9.345,0.929,8.287,20.553,1.039,1.039,1.433,0.011,0.000,0.000,-0.053,4.664,6.458,.485%,BCPC,05766520
001979,10318,2013-12-31,2014-03-31,2014-07-31,42.402,0.221,20.849,34.247,35.211,35.714,35.714,4.503,24.756,0.183,0.127,0.221,0.190,0.316,0.187,0.158,0.214,0.135,0.207,0.318,0.137,0.135,0.137,0.234,0.212,0.293,1.000,0.000,0.000,0.000,,,5.070,0.094,0.154,0.000,0.000,,0.749,0.000,2.608,2.143,1.224,0.904,0.701,0.000,0.105,0.034,0.118,1787.67,2684.88,6.765,8.360,9.223,65.261,9.345,0.929,8.287,20.553,1.039,1.039,1.433,0.011,0.000,0.000,-0.053,4.354,6.029,.520%,BCPC,05766520
001979,10318,2013-12-31,2014-06-30,2014-08-31,42.664,0.269,20.266,33.621,34.523,38.677,38.677,4.060,26.434,0.191,0.106,0.221,0.182,0.319,0.160,0.145,0.235,0.124,0.216,0.318,0.126,0.128,0.126,0.243,0.221,0.246,0.788,0.212,0.233,0.212,0.015,0.013,1.015,0.129,0.194,0.199,1.167,0.088,0.262,0.556,1.994,1.385,1.224,0.890,2.231,0.251,0.326,0.252,0.484,31.688,52.781,3.874,5.171,5.936,72.514,8.025,0.771,7.821,20.862,0.901,1.144,1.827,0.010,0.000,0.000,-0.039,3.578,11.240,.505%,BCPC,05766520
001979,10318,2013-12-31,2014-06-30,2014-09-30,47.094,0.269,20.266,36.974,37.966,42.534,42.534,4.482,29.178,0.191,0.106,0.221,0.182,0.319,0.160,0.145,0.235,0.124,0.216,0.318,0.126,0.128,0.126,0.243,0.221,0.246,0.788,0.212,0.233,0.212,0.015,0.013,1.015,0.129,0.194,0.199,1.167,0.088,0.262,0.556,1.994,1.385,1.224,0.890,2.231,0.251,0.326,0.252,0.484,31.688,52.781,3.874,5.171,5.936,72.514,8.025,0.771,7.821,20.862,0.901,1.144,1.827,0.010,0.000,0.000,-0.039,3.949,12.360,.460%,BCPC,05766520
001979,10318,2013-12-31,2014-06-30,2014-10-31,53.862,0.269,20.266,42.288,43.423,48.647,48.647,5.126,33.371,0.191,0.106,0.221,0.182,0.319,0.160,0.145,0.235,0.124,0.216,0.318,0.126,0.128,0.126,0.243,0.221,0.246,0.788,0.212,0.233,0.212,0.015,0.013,1.015,0.129,0.194,0.199,1.167,0.088,0.262,0.556,1.994,1.385,1.224,0.890,2.231,0.251,0.326,0.252,0.484,31.688,52.781,3.874,5.171,5.936,72.514,8.025,0.771,7.821,20.862,0.901,1.144,1.827,0.010,0.000,0.000,-0.039,4.517,14.137,.402%,BCPC,05766520
