ticker_raw,ticker_norm,raw_variants,naics,cik,source_route,sec_lookup_url,sec_search_url,duplicate_entity_flag
AIQUY,AIQUY,1,[325120],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIQUY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=AIQUY&dateRange=all,False
CCGY,CCGY,1,[324199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCGY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CCGY&dateRange=all,False
CRDE,CRDE,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRDE&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CRDE&dateRange=all,False
CTXAY,CTXAY,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXAY&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=CTXAY&dateRange=all,False
ECP.,ECP,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECP&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ECP&dateRange=all,False
ESYL,ESYL,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESYL&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=ESYL&dateRange=all,False
GELV,GELV,1,[325193],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GELV&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=GELV&dateRange=all,False
HESG,HESG,1,[325199],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HESG&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HESG&dateRange=all,False
HTC.H,HTC.H,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTC.H&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTC.H&dateRange=all,False
HTPRF,HTPRF,1,[324110],,Alt_or_no_SEC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HTPRF&type=10-K&owner=exclude&count=40,https://www.sec.gov/edgar/search/#/q=HTPRF&dateRange=all,False
