ticker,issuer,policy_relevance,sample_decision,stage2_group,confidence,manual_confidence_score,sample_inclusion_weight,primary_mechanism,secondary_mechanism,ecosystem_role,subsidy_exposure_primary_flag,subsidy_exposure_secondary_flag,subsidy_exposure_manual_weight,subsidy_exposure_confidence_weighted,subsidy_exposure_stage2_input_weight,compliance_exposure_primary_flag,compliance_exposure_secondary_flag,compliance_exposure_manual_weight,compliance_exposure_confidence_weighted,compliance_exposure_stage2_input_weight,credit_market_exposure_primary_flag,credit_market_exposure_secondary_flag,credit_market_exposure_manual_weight,credit_market_exposure_confidence_weighted,credit_market_exposure_stage2_input_weight,demand_pull_exposure_primary_flag,demand_pull_exposure_secondary_flag,demand_pull_exposure_manual_weight,demand_pull_exposure_confidence_weighted,demand_pull_exposure_stage2_input_weight
BCPC,Balchem Corporation,non_core,control,false_positive_control,high,1.0,0.35,compliance_exposure,none_or_weak,non_core_regulatory_control,0,0,0.0,0.0,0.0,1,0,1.0,1.0,0.35,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
BLGO,"BioLargo, Inc.",non_core,control,false_positive_control,medium,0.7,0.35,compliance_exposure,none_or_weak,non_core_water_treatment_environmental_control,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.24499999999999997,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
CE,Celanese Corporation,non_core,control,false_positive_control,medium,0.7,0.35,compliance_exposure,none_or_weak,non_core_specialty_chemicals_control,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.24499999999999997,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
IFF,International Flavors & Fragrances Inc.,non_core,control,false_positive_control,medium,0.7,0.35,none_or_weak,compliance_exposure,non_core_ingredients_control,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.12249999999999998,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
OCLN,"OriginClear, Inc.",non_core,control,false_positive_control,medium,0.7,0.35,compliance_exposure,none_or_weak,non_core_water_infrastructure_control,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.24499999999999997,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
SXC,"SunCoke Energy, Inc.",non_core,control,false_positive_control,medium,0.7,0.35,compliance_exposure,none_or_weak,non_core_coke_and_industrial_services_control,0,0,0.0,0.0,0.0,1,0,1.0,0.7,0.24499999999999997,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
SXT,Sensient Technologies Corporation,non_core,control,false_positive_control,medium,0.7,0.35,none_or_weak,compliance_exposure,non_core_flavors_colors_ingredients_control,0,0,0.0,0.0,0.0,0,1,0.5,0.35,0.12249999999999998,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
PMBY,PMB Aerospace Corporation,non_core,drop,excluded_from_main_specs,low,0.4,0.0,none_or_weak,none_or_weak,dropped_aerospace_identity_mismatch,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
PTOI,"Plastic2Oil, Inc.",non_core,drop,excluded_from_main_specs,low,0.4,0.0,none_or_weak,none_or_weak,dropped_revoked_registration_legacy_name,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
QREE,"Quantum Energy, Inc.",non_core,drop,excluded_from_main_specs,low,0.4,0.0,none_or_weak,none_or_weak,dropped_photonic_energy_identity_mismatch,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
