policy,event_date,model,regressor,coef,std_err,z,p_value,ci_low,ci_high
IRA,2022-08-16,baseline,ExpoQuick_it_dm,-0.309,0.075,-4.124,0.0,-0.456,-0.162
LCFS,2023-01-03,baseline,ExpoQuick_it_dm,-0.0303,0.061,-0.5,0.617,-0.149,0.088
RFS2,2021-01-04,baseline,ExpoQuick_it_dm,0.3318,0.128,2.6,0.009,0.082,0.582
IRA,2022-08-16,mechanism,subsidy_expo_it_dm,-0.3737,0.102,-3.65,0.0,-0.574,-0.173
IRA,2022-08-16,mechanism,compliance_expo_it_dm,-0.6208,0.321,-1.935,0.053,-1.25,0.008
IRA,2022-08-16,mechanism,credit_market_expo_it_dm,0.0409,0.237,0.172,0.863,-0.423,0.505
IRA,2022-08-16,mechanism,demand_pull_expo_it_dm,-0.2778,0.151,-1.836,0.066,-0.574,0.019
LCFS,2023-01-03,mechanism,subsidy_expo_it_dm,0.0712,0.137,0.519,0.604,-0.197,0.34
LCFS,2023-01-03,mechanism,compliance_expo_it_dm,0.0693,0.435,0.159,0.873,-0.783,0.921
LCFS,2023-01-03,mechanism,credit_market_expo_it_dm,-0.0369,0.11,-0.337,0.736,-0.252,0.178
LCFS,2023-01-03,mechanism,demand_pull_expo_it_dm,-0.0855,0.253,-0.338,0.736,-0.582,0.411
RFS2,2021-01-04,mechanism,subsidy_expo_it_dm,0.6528,0.228,2.865,0.004,0.206,1.099
RFS2,2021-01-04,mechanism,compliance_expo_it_dm,-0.0947,0.842,-0.112,0.91,-1.745,1.556
RFS2,2021-01-04,mechanism,credit_market_expo_it_dm,0.3476,0.206,1.69,0.091,-0.055,0.751
RFS2,2021-01-04,mechanism,demand_pull_expo_it_dm,-0.1813,0.5,-0.363,0.717,-1.161,0.798
