policy,event,model,var,coef_old,p_old,coef_new,p_new,coef_change,p_change
IRA,2022-08-16,baseline,ExpoQuick_it,-0.309,0.0,-0.309,0.0,0.0,0.0
IRA,2022-08-16,mechanism,compliance_expo_it,-0.6208,0.053,-3.0917,0.049,-2.4709,-0.003999999999999997
IRA,2022-08-16,mechanism,credit_market_expo_it,0.0409,0.863,4.8963,0.862,4.8554,-0.0010000000000000009
IRA,2022-08-16,mechanism,demand_pull_expo_it,-0.2778,0.066,-1.1124,0.056,-0.8346,-0.010000000000000002
IRA,2022-08-16,mechanism,subsidy_expo_it,-0.3737,0.0,-0.8737,0.0,-0.5,0.0
LCFS,2023-01-03,baseline,ExpoQuick_it,-0.0303,0.617,-0.0303,0.582,0.0,-0.03500000000000003
LCFS,2023-01-03,mechanism,compliance_expo_it,0.0693,0.873,0.2743,0.853,0.205,-0.020000000000000018
LCFS,2023-01-03,mechanism,credit_market_expo_it,-0.0369,0.736,-0.2632,0.65,-0.2263,-0.08599999999999997
LCFS,2023-01-03,mechanism,demand_pull_expo_it,-0.0855,0.736,-0.7432,0.686,-0.6577,-0.04999999999999993
LCFS,2023-01-03,mechanism,subsidy_expo_it,0.0712,0.604,4.0089,0.599,3.9376999999999995,-0.0050000000000000044
RFS2,2021-01-04,baseline,ExpoQuick_it,0.3318,0.009,0.3318,0.003,0.0,-0.005999999999999999
RFS2,2021-01-04,mechanism,compliance_expo_it,-0.0947,0.91,-0.3849,0.886,-0.2902,-0.02400000000000002
RFS2,2021-01-04,mechanism,credit_market_expo_it,0.3476,0.091,1.5045,0.023,1.1568999999999998,-0.068
RFS2,2021-01-04,mechanism,demand_pull_expo_it,-0.1813,0.717,-2.572,0.626,-2.3907000000000003,-0.09099999999999997
RFS2,2021-01-04,mechanism,subsidy_expo_it,0.6528,0.004,105.6268,0.0,104.974,-0.004
