var,coef,se,t,p,policy,event,model,event_date,coef_controls,p_controls,coef_change_controls_minus_prev
ExpoQuick_it,-0.309,0.07,-4.443,0.0,IRA,2022-08-16,baseline,,,,
ExpoQuick_it,,,,,IRA,,baseline_with_controls,2022-08-16,-0.028968569288184382,0.84523091785629,
compliance_expo_it,-3.0917,1.571,-1.968,0.049,IRA,2022-08-16,mechanism,,,,
compliance_expo_it,,,,,IRA,,mechanism_with_controls,2022-08-16,-2.490819441423503,0.626259817406045,
credit_market_expo_it,4.8963,28.074,0.174,0.862,IRA,2022-08-16,mechanism,,,,
credit_market_expo_it,,,,,IRA,,mechanism_with_controls,2022-08-16,64.46445861123804,0.3265460452563246,
demand_pull_expo_it,-1.1124,0.581,-1.914,0.056,IRA,2022-08-16,mechanism,,,,
demand_pull_expo_it,,,,,IRA,,mechanism_with_controls,2022-08-16,-0.15611610456230315,0.9401621517888098,
subsidy_expo_it,-0.8737,0.246,-3.557,0.0,IRA,2022-08-16,mechanism,,,,
subsidy_expo_it,,,,,IRA,,mechanism_with_controls,2022-08-16,-16.925287758827,6.609002989060847e-06,
ExpoQuick_it,-0.0303,0.055,-0.551,0.582,LCFS,2023-01-03,baseline,,,,
ExpoQuick_it,,,,,LCFS,,baseline_with_controls,2023-01-03,-0.002479065008255848,0.9378506620696159,
compliance_expo_it,0.2743,1.477,0.186,0.853,LCFS,2023-01-03,mechanism,,,,
compliance_expo_it,,,,,LCFS,,mechanism_with_controls,2023-01-03,2.2051623923216495,0.14219540609828785,
credit_market_expo_it,-0.2632,0.58,-0.454,0.65,LCFS,2023-01-03,mechanism,,,,
credit_market_expo_it,,,,,LCFS,,mechanism_with_controls,2023-01-03,0.7258217618253712,0.26355313236680433,
demand_pull_expo_it,-0.7432,1.836,-0.405,0.686,LCFS,2023-01-03,mechanism,,,,
demand_pull_expo_it,,,,,LCFS,,mechanism_with_controls,2023-01-03,-1.5988896958538616,0.3364382205417442,
subsidy_expo_it,4.0089,7.628,0.526,0.599,LCFS,2023-01-03,mechanism,,,,
subsidy_expo_it,,,,,LCFS,,mechanism_with_controls,2023-01-03,71.8613799819393,0.02971009623658737,
ExpoQuick_it,0.3318,0.111,2.987,0.003,RFS2,2021-01-04,baseline,,,,
ExpoQuick_it,,,,,RFS2,,baseline_with_controls,2021-01-04,0.5188864974344862,0.15778292716331588,
compliance_expo_it,-0.3849,2.692,-0.143,0.886,RFS2,2021-01-04,mechanism,,,,
compliance_expo_it,,,,,RFS2,,mechanism_with_controls,2021-01-04,2.9148596532508053,0.8410428012659991,
credit_market_expo_it,1.5045,0.664,2.267,0.023,RFS2,2021-01-04,mechanism,,,,
credit_market_expo_it,,,,,RFS2,,mechanism_with_controls,2021-01-04,-2.438394744829805,0.4641502357668136,
demand_pull_expo_it,-2.572,5.275,-0.488,0.626,RFS2,2021-01-04,mechanism,,,,
demand_pull_expo_it,,,,,RFS2,,mechanism_with_controls,2021-01-04,32.72691871653584,0.22446565729583656,
subsidy_expo_it,105.6268,28.506,3.705,0.0,RFS2,2021-01-04,mechanism,,,,
subsidy_expo_it,,,,,RFS2,,mechanism_with_controls,2021-01-04,-312.6678744325687,0.9187738377779545,
